total_cases,total_deaths,total_recovered,new_cases,new_deaths,statistic_taken_at
"4,54,983","20,549","1,13,157","32,456","1,659",25-03-2020 18.19
"4,57,930","20,780","1,13,776","35,403","1,890",25-03-2020 18.25
"4,57,935","20,781","1,13,776","35,408","1,891",25-03-2020 18.26
"4,58,662","20,799","1,13,776","36,135","1,909",25-03-2020 18.29
"4,58,664","20,799","1,13,776","36,137","1,909",25-03-2020 18.43
"4,59,168","20,818","1,13,776","36,641","1,928",25-03-2020 18.46
"4,59,172","20,818","1,13,776","36,645","1,928",25-03-2020 18.48
"4,59,220","20,818","1,13,776","36,693","1,928",25-03-2020 18.49
"4,59,559","20,820","1,13,776","37,032","1,930",25-03-2020 18.50
"4,59,560","20,820","1,13,776","37,033","1,930",25-03-2020 18.51
"4,59,652","20,820","1,13,776","37,125","1,930",25-03-2020 18.54
"4,59,652","20,821","1,13,776","37,125","1,931",25-03-2020 18.55
"4,59,671","20,821","1,13,776","37,144","1,931",25-03-2020 18.57
"4,59,793","20,822","1,13,776","37,266","1,932",25-03-2020 18.59
"4,59,793","20,823","1,13,778","37,266","1,933",25-03-2020 19.02
"4,59,793","20,823","1,13,783","37,266","1,933",25-03-2020 19.03
"4,59,943","20,825","1,13,783","37,416","1,935",25-03-2020 19.05
"4,59,994","20,827","1,13,783","37,467","1,937",25-03-2020 19.07
"4,71,802","21,297","1,14,703",834,19,26-03-2020 6.30
"4,71,811","21,297","1,14,703",843,19,26-03-2020 6.31
"4,71,820","21,297","1,14,703",852,19,26-03-2020 6.51
"4,72,037","21,301","1,14,714","1,069",23,26-03-2020 7.19
"4,72,037","21,302","1,14,714","1,069",24,26-03-2020 7.20
"4,72,337","21,302","1,14,714","1,369",24,26-03-2020 7.27
"4,72,337","21,302","1,14,718","1,369",24,26-03-2020 7.28
"4,72,337","21,304","1,14,718","1,369",26,26-03-2020 7.30
"4,72,354","21,304","1,14,718","1,386",26,26-03-2020 7.33
"4,72,368","21,304","1,14,718","1,400",26,26-03-2020 7.34
"4,72,381","21,304","1,14,718","1,413",26,26-03-2020 7.38
"4,72,381","21,304","1,14,731","1,413",26,26-03-2020 7.43
"4,72,393","21,304","1,14,740","1,425",26,26-03-2020 7.46
"4,72,406","21,304","1,14,740","1,438",26,26-03-2020 7.47
"4,72,529","21,304","1,14,740","1,561",26,26-03-2020 7.51
"4,72,529","21,305","1,14,740","1,561",27,26-03-2020 7.58
"4,72,530","21,305","1,14,740","1,562",27,26-03-2020 8.07
"537,017","24,117","124,436","5,207",49,2020-03-27 08:47:05
"537,113","24,126","124,439","5,303",58,2020-03-27 08:48:05
"537,881","24,149","124,612","6,071",81,2020-03-27 09:41:06
"537,881","24,293","124,612","6,071",225,2020-03-27 09:42:06
"540,807","24,293","125,288","8,997",225,2020-03-27 09:44:06
"540,811","24,293","125,289","9,001",225,2020-03-27 09:45:06
"540,828","24,293","125,297","9,018",225,2020-03-27 09:47:05
"540,832","24,293","125,297","9,022",225,2020-03-27 09:48:05
